gridcode;year;nitrate;rainfall;oxygen;area;emission;stockage;grass;vegetableG1;vegetableG2;vegetableG3;catchcrop;norm_N;deposition
6029;2008;7.7;74.07854545;28;0.821687209;0.004091141;0.000935199;0.31529165;0;0;0;no;0.027269972;0.003346485
6029;2009;1.4;175.4568333;24.5;0.826772064;0.001880426;1.80E-05;0.310535297;0;0;0;no;0.026017554;0.002950213
6029;2010;5.6;196.9782895;0;0.814937385;0.001175205;0.000275908;0.308107052;0;0;0;no;0.026138714;0.002749278
6029;2011;4.2;181.1325893;0;0.810678727;0.001416772;0.000400237;0.325753192;0;0;0.062105189;no;0.026461713;0.002999704
6029;2012;4.5;142.3970833;0;0.823141447;0.001375541;7.53E-05;0.309763013;0;0;0.055974858;no;0.025037858;0.002945348
6029;2013;2.27;100.7469872;0;0.810569109;0.001516504;2.72E-06;0.313228098;0;0;0.06726274;no;0.025346907;0.002622745
7003;2008;5.3;134.88125;0;0.912870571;0.002134937;-0.000503094;0.224024864;0;0;0;no;0.026336407;0.002155271
7003;2009;4.4;175.4568333;36.8;0.89826532;0.00203173;-0.000390973;0.24619039;0;0;0;yes;0.024369227;0.00195289
7003;2010;0.89;196.9782895;0;0.910825682;0.002022923;-0.000334454;0.229465011;0;0;0;no;0.027700777;0.001761608
7003;2011;10.5;67.19192325;72.4;0.909596962;0.002067392;-0.00065055;0.235548041;0;0.030817615;0;no;0.023183383;0.001923685
7003;2012;5.5;144.3890278;26.9;0.898171442;0.00213684;0.0001927;0.258002417;0;0.031209674;0;no;0.025575549;0.001939514
7003;2013;4;103.0217857;55.9;0.898137504;0.002381466;0.000400696;0.240703988;0;0.027956207;0.005173998;no;0.024695921;0.001688959
7010;2008;1;134.88125;0;0.714122977;0.003639175;-0.000586766;0.565290298;0;0;0;yes;0.028756204;0.003861412
7010;2009;0.94;31.80642857;0;0.701779169;0.00377235;-0.000226898;0.564222359;0;0;0;yes;0.027381357;0.00350226
7010;2011;1.5;30.317;0;0.676641947;0.004270346;-0.002012138;0.569265641;0;0.003260968;0.000497052;no;0.028667948;0.003651702
7010;2012;1.03;90.70644444;55.2;0.668651455;0.003984826;-0.000507907;0.567351739;0;0.000421375;0;no;0.028445257;0.003638254
7010;2013;0.74;56.66746753;0;0.662423136;0.0041289;-0.000411204;0.565274741;0;0;0;no;0.027486337;0.003211322
7054;2008;0.72;134.88125;0;0.736752316;0.003591327;-0.000724912;0.733214733;0;0;0;no;0.025164026;0.002786221
7054;2009;0.41;101.9716364;0;0.713568668;0.003675795;0.00018359;0.740092156;0;0;0;yes;0.025665125;0.002553702
7054;2011;1.51;67.19192325;65.4;0.713322354;0.003355511;0.000271627;0.735881129;0;0.003161317;0;no;0.024848796;0.002520159
7054;2012;0.81;90.70644444;61.3;0.705799298;0.003456655;0.000307591;0.727753616;0;0.006726152;0;no;0.024425671;0.002527043
8009;2008;8.5;149.44125;89.7;0.943108312;0.003163468;-0.000280919;0.379906097;0;0;0;no;0.026423035;0.002585959
8009;2009;6.2;175.4568333;49.9;0.92833469;0.003207736;-0.000115838;0.414256529;0;0;0;no;0.029075121;0.002346797
8009;2010;4.4;79.49388889;47;0.926408857;0.003365418;-0.000419194;0.400485812;0;0;0;no;0.029060267;0.002138367
8009;2011;7.9;181.1325893;0;0.93331812;0.003159872;-0.000527579;0.405408541;0;0.00212283;0;yes;0.028180419;0.002332364
8009;2012;9.7;142.3970833;0;0.927317191;0.002948635;-0.000104443;0.395984822;0;0.000370911;0;yes;0.028156745;0.002323992
8009;2013;5.8;86.94066667;63;0.919559367;0.002968686;0.000579322;0.411100068;0;0.001019524;0.011920497;yes;0.026077932;0.002041775
8016;2008;4.5;134.88125;0;0.760495922;0.002364071;0.000248043;0.418904476;0;0;0;no;0.026604941;0.00542335
8016;2009;0.55;101.9716364;0;0.748134144;0.002474166;-0.000178042;0.433557456;0;0;0;no;0.026329594;0.004924363
8016;2010;1.6;196.9782895;0;0.772532002;0.002250965;0.000333129;0.429208396;0;0;0;no;0.025515721;0.004399123
8016;2011;2.9;181.1325893;0;0.764537388;0.002439101;0.000754412;0.414901152;0;0;0;no;0.024826369;0.004808927
8016;2012;3.1;142.3970833;0;0.752698602;0.002326897;0.000159964;0.391855188;0;0;0;no;0.02528336;0.004805691
8016;2013;1.91;56.66746753;37;0.756740027;0.00225337;-0.000343423;0.40354071;0;0.000105394;0;no;0.02510665;0.004198738
8018;2008;4.6;134.88125;0;0.90761907;0.003761516;-0.000467715;0.40029125;0;0;0;no;0.027546269;0.003804437
8018;2009;3.1;175.4568333;32.7;0.906283834;0.003519651;-0.000468289;0.410940689;0;0;0;no;0.028472317;0.003413874
8018;2010;0.71;196.9782895;0;0.905819296;0.00334662;-6.51E-05;0.396431295;0;0;0;no;0.026175647;0.003117443
8018;2011;2.31;181.1325893;0;0.905257265;0.003412744;-0.000831103;0.382096091;0;0;0;no;0.026073094;0.003368785
8018;2012;2.22;142.3970833;0;0.900084653;0.003681606;-0.001051918;0.400556983;0;0;0;no;0.026717055;0.00335146
8018;2013;0.47;100.7469872;0;0.896253845;0.003555658;0.000806368;0.358931949;0;0;0;no;0.023950358;0.002938632
8051;2008;6.8;55.37233333;77.3;0.877238492;0.004305068;-0.001093435;0.418411808;0;0;0;yes;0.028138344;0.004577664
8051;2009;8.7;115.725;51.4;0.876243974;0.004179494;-0.002615526;0.432340224;0;0;0;yes;0.027999694;0.004037535
8051;2010;3.1;212.4118333;0;0.87660184;0.004417663;-0.001312453;0.436885573;0;0;0;yes;0.028113161;0.003652492
8051;2011;9.2;175.0377778;0;0.878385784;0.004568306;0.001268631;0.434888404;0;0.00783977;0.004734006;yes;0.026169534;0.004080725
8051;2012;8.3;95.29583333;0;0.875990563;0.004557846;0.000629874;0.417644469;0;0.031011251;0;yes;0.027317516;0.003978684
8051;2013;8.4;124.195881;53.8;0.874221161;0.004470132;0.000149657;0.384858485;0;0.024724113;0;yes;0.025585841;0.003498767
8100;2008;19;87.16316667;48.2;0.889959351;0.00561555;-0.001019809;0.387004354;0;0;0;no;0.024403528;0.003303245
8100;2009;15.8;66.568;89.6;0.883186879;0.006338374;-0.000330059;0.40025481;0;0;0;yes;0.026121278;0.002967904
